Species, Length ,A(%),C(%),T(%),G(%),,,,,,
T_acuta,"15,619",36.187,19.201,33.728,10.884,,,,,,
T_alcocki,"15,625",36.384,17.862,35.43,10.323,,,,,,
T_arcuata,"15,955",35.719,18.79,34.416,11.069,,,,,,
T_capricornis,"15,629",35.479,18.114,35.012,11.395,,,,,,
T_paradussumieri,"15,614",35.865,18.189,34.949,10.997,,,,,,
T_polita,"15,672",36.594,17.509,34.999,10.898,,,,Species,nad2 length,GC%
T_rosea,"15,643",36.591,18.59,34.527,10.286,,,,T_acuta," 1,010 ", 29.48 
,,,,,,,,,T_alcocki," 1,010 ", 27.50 
,,,,,,,,,T_arcuata, 977 , 30.16 
,,,,,,,,,T_capricornis," 1,010 ", 28.29 
,,,,,,,,,T_paradussumieri," 1,010 ", 26.90 
,,,,,,,,,T_polita," 1,010 ", 27.10 
,,,,,,,,,T_rosea," 1,010 ", 25.62 
